名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
屈臣氏(旌阳万达广场店),购物服务,超级市场,屈臣氏,青衣江东路万达广场1层,四川省,德阳市,旌阳区,104.4116469,31.16229859
圣辉超市,购物服务,超级市场,超市,万达广场,四川省,德阳市,旌阳区,104.411884,31.1603377
家润生鲜超市(花雨树店),购物服务,超级市场,超市,天山北路与廷河路交叉口南100米,四川省,德阳市,旌阳区,104.4096062,31.1573241
富江超市(芦德路),购物服务,超级市场,超市,芦德路西50米,四川省,德阳市,旌阳区,104.4489749,31.16022689
功元超市,购物服务,超级市场,超市,子汉路与芦德路交叉口东北50米,四川省,德阳市,中江县,104.6310501,31.15832046
华亿超市(红岩店),购物服务,超级市场,超市,会元街与湔红路交叉口北50米,四川省,成都市,彭州市,104.0049461,31.14696177
家家自选超市(禾丰店),购物服务,超级市场,超市,三圣街与亭江街交叉口北50米,四川省,德阳市,什邡市,104.2112582,31.1516036
安康超市,购物服务,超级市场,超市,朝阳街与玉河东街交叉口西北100米,四川省,德阳市,什邡市,104.2115214,31.15375582
世纪华联购物中心(禾丰店),购物服务,超级市场,超市,玉河东街与玉河西路交叉口东北50米,四川省,德阳市,什邡市,104.2113292,31.15321886
富江超市(黄山路),购物服务,超级市场,超市,黄山路北100米,四川省,德阳市,旌阳区,104.3792856,31.1504062
丰联超市(东电3区店),购物服务,超级市场,超市,太行山路1-8号(文化苑小区北),四川省,德阳市,旌阳区,104.3894142,31.15523424
丰联超市(时代星座店),购物服务,超级市场,超市,泰山北路201号附近,四川省,德阳市,旌阳区,104.3930517,31.15118798
洋洋悦家,购物服务,超级市场,超市,黄河西路123号,四川省,德阳市,旌阳区,104.394112,31.14775047
百缘超市,购物服务,超级市场,超市,苗山街10-16号附近,四川省,德阳市,旌阳区,104.3953517,31.15210697
